"IDNota";"Titulo";"Nota"
134;"¿Es posible hacer aceite picante en casa?";"Sí, para fabricar aceite picante casero hay que colocar en una botella de aceite un ají seco o fresco (pinchado con un escarbadientes) y dejar reposar un mes antes de utilizarlo."
135;"¿Cómo pueden aprovecharse los restos de pan?";"Si sobra pan, lo usual es convertirlo en pan rallado. Para eso conviene secar los restos en el horno y procesarlos de una taza a la vez, descortezándolos previamente. También se lo puede tostar y cortar luego en pequeños cubitos. En este caso, guárdelos en un frasco y empléelos como guarnición de sopas crema o ensaladas, rehogándolos previamente en aceite."
136;"¿Cuál es la forma más segura para condimentar un plato con chile?";"Para evitar un excesivo sabor picante es conveniente saltear en dos cucharadas de aceite mezcla un chile."
137;"¿Qué precauciones hay que tener cuando se utiliza jengibre fresco?";"Antes de rallar o picar o cortar el jengibre fresco, es necesario pelarlo y retirarle las fibras."
138;"¿Qué cantidad de pasta cruda se debe calcular por persona?";"Por persona se debe calcular de 50 a 60 gr. de pasta cruda."
139;"¿Qué cantidad de líquido se requiere para cocer la pasta?";"Para cocer la pasta de debe calcular 1 litro de líquido cada 100 g. de pasta."
140;"¿Qué hacer para que las empanadas no pierdan su relleno en el horno?";"Para evitar que las empanadas al horno se abran durante la cocción y derramen su relleno se recomienda pinchar uno de sus extremos con un tenedor o escarbadiente, antes de ponerlas a cocinar. Con esto se logra sacarles el aire del interior."
141;"¿Las hierbas frescas y las secas se diferencian en la utilización?";"Las hierbas frescas se utilizan en ensaladas y salsas, las secas son más apropiadas platos que requieren tiempos de cocción prolongados."
142;"¿Cómo picar más facilmente el perejil?";"Para picar el perejil con facilidad mójelo, previamente, con agua caliente."
143;"¿Dónde deben cocinarse los dulces?";"Lo recomendable es hacerlo en una cazuela de barro o enlozada, destapada. Cuando corresponda revolver, hacerlo con cuchara de madera."
145;"¿Cómo retirar la piel a la raíz de jengibre?";"El forma más fácil de pelar la raíz de jengibre es rasparla con el canto de una cuchara."
146;"¿Hay que pinchar la carne durante la cocción?";"Durante la cocción nunca debe pincharse la carne, para evitar la pérdida de jugos."
147;"¿Cómo puede aprovecharse todo el puerro?";"Cuando la receta solamente requiere la parte blanca o tierna del puerro, no deseche el resto pues la parte verde es perfecta para darle sabor a un caldo de verduras. Blanqueada, esta parte sirve también como ""lazo"" para cerrar panqueques o paquetitos de verdura."
148;"¿Qué hacer para que el aceite no salpique?";"Si no quiere que el aceite de la fritura salpique, coloque en la sartén u olla un poquito de sal."
149;"¿Es posible hornear pollo sin ensuciar el horno?";"Para no ensuciar el horno conviene cocer el pollo en una bolsa especial."
150;"¿Qué hay que tener en cuenta cuando va a asar carne?";"La carne para asar tiene que estar a temperatura ambiente."
151;"¿Cómo lograr carnes a la parrilla o plancha más sabrosas?";"La carne a la parilla o plancha tiene mejor sabor si se condimenta al finalizar la cocción."
152;"¿A que temperatura debe estar la cerveza, cuando se utiliza como ingrediente?";"La cerveza que se va a utilizar como ingrediente debe estar a temperatura ambiente."
153;"¿Qué hacer para que el caramelo del flan no se cristalice?";"Hay que echarle unas gotas de limón."
154;"¿Qué hacer cuando el chocolate cambia de color?";"Cuando el chocolate o los bombones tienen manchas blancuzcas en su superficie significa que han sido expuestos al calor excesivo. En ese caso, se los debe descartar por no ser aptos para su consumo."
156;"¿Cómo lograr aves crocantes y doradas?";"Para cocinar un ave entera es imprescindible lavarla y secarla muy bien antes de ponerla a cocer, ya que si le queda humedad no resultará crocante ni alcanzará a dorarse bien."
157;"¿Cómo se cocinan correctamente las presas de ave?";"Para cocinar presas de ave se debe precalentar la bandeja doradora ocho minutos a potencia máxima y luego distribuir las presas rodeando los bordes, con la parte más fina hacia el centro de la bandeja, para que la cocción resulte pareja."
158;"¿Cómo impedir que se seque la carne de ave?";"Para que durante la cocción la carne no se seque ni se salpique el interior delmicroondas conviene cubrir el ave o sus presas con papel manteca."
159;"¿Qué hacer para que las mermeladas no se cristalicen?";"Agregarles un poco de jugo de limón es el secreto ideal."
160;"¿Cómo flambear platos?";"Para flambear tortillas, panqueques o postres, caliente media taza tamaño té de cognac durante 30 segundos a nivel máximo. Luego retire, encienda y flambee."
161;"¿Qué hay que saber para conservar los duraznos frescos?";"El secreto para mantenerlos en buen estado es no lavarlos ni cepillarlos hasta el momento mismo de consumirlos. Tampoco es recomendable exponerlos a temperaturas elevadas. Guárdelos siempre en la heladera, dentro de un recipiente con tapa."
162;"¿Cómo hacer una compota ligth?";"Si quiere convertir una compota en un postre dietético, reemplace el azúcar por sacarina o edulcorante, pero recuerde endulzar una vez que la fruta se haya cocido."
163;"¿Cómo se limpian las pasas de uva?";"Para utilizar adecuadamente las pasas de uva es necesario enjuagarlas bien antes, quitarles el cabito y separar las semillas"
164;"¿En qué momento es conveniente agregar las especias, condimentos o hierbas?";"Las especias, los condimentos y las hierbas aromáticas conviene agregarlas al final de la cocción para preservar el aroma."
165;"¿Cómo se cocinan los alimentos con mucha agua?";"Recuerde que el agua atrae las microondas, por lo cual los alimentos acuosos o muy húmedos deben cocinarse sin añadir líquido. De lo contrario, hervirán."
166;"¿Puede hacerse cualquier receta en el microondas?";"Cualquier receta que implique alguno de los métodos tradicionales de cocción sale exacta si se siguen todos sus pasos, pero se adaptan, acortándolos, los tiempos de cocción."
167;"¿Qué especias llevan los ramitos aromáticos?";"Un ramito compuesto contiene generalmente laurel, orégano, perejil, tomillo, romero, apio y salvia."
168;"¿Se puede aromatizar el aceite?";"Sí, pero tenga en cuenta que para aromatizar el aceite que va a ser usado en frituras dulces o eliminar el sabor fuerte de un aceite no muy refinado, hay que freír previamente en éste una cáscara de limón o naranja."
169;"¿Qué hay que hacer para que las frutillas queden siempre firmes?";"Para que las frutillas no queden acuosas y mantengan su firmeza original es importante enjuagarlas rápidamente con el rabito y sólo quitarlo después de este paso."
170;"¿En que se diferencia la lima del limón?";"La lima contiene menos vitamina C que el limón y es excelente para acentúar el sabor de platos de pollo, porotos o judías y sopas de verduras."
171;"¿Se puede reemplazar la crema de leche?";"Para disminuir la ingestión de calorías la crema de leche se puede reemplazarpor queso crema, yoghourt o ricotta."
172;"¿Cómo hacer para que una salsa con vino no quede ácida?";"Si utiliza vino en las salsas es recomendable dejarlas hervir unos minutos, para que el alcohol se evapore y queden con un suave sabor frutado. De lo contrario resultarán ácidas."
173;"¿Cómo puede aumentarse el rendimiento de un huevo?";"Si el huevo es chico o insuficiente para la preparación que está elaborando, hágalo rendir más con sólo añadirle un poco de leche."
174;"¿Cómo impedir que el huevo duro se reseque?";"Para que las rodajas de huevo duro no se resequen es conveniente rociarlas con unas gotas de aceite, cubrirlas con papel celofán o polietileno bien adherido a los bordes y llevarlas a la heladera hasta el momento de servir."
175;"¿Qué precauciones tomar antes de usar conservas de pescado?";"Algunas conservas, como las de sardinas, atún y filetes de bonito, deben ser escurridas antes de su utilización. Para consumirlas sin problemas hay que descartar primero los restos de escamas y retirarles la espina dorsal."
176;"¿Qué hacer cuando se pega el caramelo a la olla?";"Lo mejor para quitar el caramelo a una olla o molde es ponerle un poco de agua y dejarla hervir."
177;"¿Cuál es el tiempo de cocción de la pasta fresca?";"El tiempo de cocción de la pasta fresca, una vez que se echa en agua hirviendo, es de 1-3 min., desde el líquido hierve nuevamente."
178;"¿Cuál es la forma apropiada para conservar el queso rallado?";"La mejor forma de conservar el queso rallado es guardarlo, dentro de una bolsita de polietileno, en la heladera."
179;"¿Cómo se logra el gusto del ""pan de campo""?";"Si desea cocinar un sabroso pan de campo, pincélelo con aceite de oliva antes y durante el horneado."
180;"¿Qué importancia tiene el agua que usamos para hacer pan?";"Muchísima. La ideal es la de lluvia, pero si usa la corriente controle que no tenga mucho cloro. Si es así, conviene usar agua mineral."
181;"¿Con qué se puede reemplazar la crema chantilly?";"Es posible obtener un excelente sustituto de la crema chantilly cortando en rodajas una banana madura y agregándole una clara y tres gotas de jugo de limón. Es muy importante batir enérgicamente esta preparación antes de usar."
182;"¿Cómo sustituir el chocolate amargo?";"El chocolate amargo se puede sustituir por 3 cucharadas de cacao, también amargo, mezclado con 1 1/2 cucharada de manteca derretida, esta pasta equivale a 30 g. de chocolate en barra."
183;"¿Cómo se reemplaza la albahaca fresca?";"Cuatro cucharaditas de albahaca seca molida equivalen a una cucharadita de la misma hierba fresca, picada."
184;"¿Es posible aumentar el volumen de la manteca/mantequilla o margarina?";"Es posible duplicar la cantidad de manteca/mantequilla o margarina para hacerlo hay que batirlas y simultáneamente ir incorporando leche, de a poco, hasta tener una mezcla homogénea."
185;"¿Cómo se calienta el pescado ya frito?";"Lo ideal para calentar pescado frito es ponerlo sobre un trozo de papel encerado, enrollando los bordes para que quede bien cerrado y colocarlo al horno, a la parrilla o en el microondas. Calentado de esta forma conserva todo su sabor."
186;"¿Cómo se conservan los pescados fritos?";"La clave de conservarlos perfectos es cubrirlos totalmente con aceite."
187;"¿Cómo deben lucir las anchoas para saber si están en buen estado?";"Sean en salmuera o en aceite, las anchoas en conserva deben tener un color rosado uniforme. Esto indica que pueden consumirse sin problemas. Si lucen un tono amarillento es porque están rancias y conviene desecharlas."
188;"¿Cómo hacer para que no se quemen los palitos de madera para brochettes?";"Si los palitos para brochettes son de madera le sugerimos que los coloque durante una media hora dentro de un recipiente con agua, de esta forma no se quemará la madera durante la cocción."
189;"¿Cómo evitar que los trozos de carne no se peguen a la broceta?";"Para que la carne no se pegue, aceite ligeramente la brocheta antes de ensartarla."
190;"¿Con qué especias se condimenta el cordero?";"El cordero se lleva bien con varias especias, pero sobre todo con el romero, el tomillo y la mejorana, que deben usarse preferentemente frescas. También con el ajo y el aceite de oliva."
191;"¿Qué hay que saber para cocinar un cordero?";"La carne de cordero se cocina más rápido que la carne vacuna. Se aconseja servirla bien caliente o fría, ya que tibia no es agradable al paladar."
192;"¿Cómo se conservan mejor las berenjenas?";"La tradición popular de la zona central de la Argentina encontró una forma original de conservar las berenjenas, haciendo chichoca o charque, dado que no es conveniente congelar estas verduras. La técnica consiste en cortar las berenjenas en rebanadas y agregarles mucha sal gruesa por ambos lados. Luego hay que ponerlas al sol, extendidas hasta que se sequen. Antes de utilizarlas en guisos y estofados conviene siempre remojarlas."
193;"¿Cómo se pelan los morrones?";"Para pelar morrones o pimientos rojos es aconsejable darles un rápido hervor y desprender enseguida la piel con las manos. Verá que fácil resulta hacerlo."
194;"¿Cómo se conservan los chiles?";"Para conservarlos durante un año se deben secar, triturar y guardar en un recipiente hermético en un lugar oscuro, seco y fresco."
195;"¿Cómo impedir que los langostinos se arqueen y doblen?";"Para mantener los langostinos rectos, introdúzcales un palillo antes de cocinarlos, en su centro. Esto evita que se curven durante la cocción. Recuerde retirar el sostén antes de llevarlos a la mesa."
196;"¿Cómo se calcula la cantidad de cebolla deshidratada que lleva una comida?";"Al momento de usar cebolla deshidratada en la preparación de un plato recuerde que una cucharada de las escamas resecadas es igual a media cebolla cruda."
198;"¿Cómo hacer huevos duros?";"El huevo cuece en agua fría, dejándolo no más de 12 min. desde que alcanza el punto de ebullición, pues sino la yema se torna verdosa."
199;"¿Cómo lograr que las especias molidas conserven más tiempo su aroma?";"Las especias molidas conservan su aroma por más tiempo si se las guarda en el freezer o congelador."
200;"¿Cuál es el secreto para lograr un buen cóctel?";"Hay que utilizar marcas de calidad y ser muy riguroso en la exactitud de las medidas."
201;"¿Cómo se utiliza el azúcar en la preparación de tragos?";"El azúcar debe disolverse en un poco de agua, antes de utilizarla en la preparación, pues no es soluble en alcohol."
202;"¿La cerveza reemplaza la levadura?";"La cerveza un perfecto sustituto de la levadura en buñuelos y crêpes."
204;"¿Los alimentos cocidos en microondas pueden consumirse inmediatamente?";"No. Es necesario esperar unos minutos, porque aún después de ser retirados del microondas, los alimentos siguen cocinándose durante un tiempo, por conducción del calor. Recuerde que a mayor tiempo de cocción, mayor debe ser el tiempo de reposo. Las carnes, por ejemplo, requieren entre diez y quince minutos de ""descanso""."
205;"¿Qué vajilla debe usarse para cocinar en micorondas?";"Lo ideal son los recipientes de vidrio, porcelana, cerámica, papel y algunos plásticos, pues no rechazan las microondas. Nunca utilice vajilla de melanina o barro, ni con precintos metálicos o decoraciones en pintura metálica. Verifique, además, que los recipientes de plástico o las bolsas sean termoresistentes y aptas para este tipo de cocción. De lo contrario, impedirán que las microondas pasen y su rebote puede producir chispas o demorar gratuitamente el tiempo de cocción."
206;"¿Cómo se conservan mejor las galletitas?";"Cuando conserve galletas y bizcochos de diferentes clases no conviene guardarlos en la misma lata, porque esto hace que se deterioren con mayor rapidez."
207;"¿Cómo cocinar bien las omelettes?";"Para que la tortilla u omelette se cocine parejo espere a que los bordes hayan cuajado un poco y recién entonces despéguela con la ayuda de una espátula de madera. Esto permitirá que cuaje el resto de la tortilla."
208;"¿Cuál es la mejor forma para picar hongos/setas?";"Para picar o trocear fácilmente hongos/setas es necesario utilizar dos cuchillos, de igual tamaño, sujetando ambos mangos, juntos, con una mano y las puntas de las hojas con la otra."
209;"¿Hay que lavar las lentejas secas?";"Las lentejas se deben lavar en abundante agua fría y hay que desechar las que flotan, pues están pasadas."
210;"¿Cómo aprovechar el arroz muy cocido?";"Si el arroz hervido se ha pasado ligeramente añádale unos gotas de limón y revuélvalo suavemente para que vuelva a quedar suelto."
212;"¿Cómo se decora con mejillones y langostinos?";"Para decorar los mejillones deben quedar con una sola valva y los langostinos con cabeza y cola."
213;"¿Cómo se hace la pasta de ajo?";"Para obtener pasta la pasta es necesario asar u hornear la cabeza entera, con piel, hasta que esté bien dorada, y luego se pisa."
214;"¿Qué hay que tener en cuenta cuando se preparan camarones/camarón o langostinos ya cocidos?";"Cuando se utilizan camarones ya cocidos no es aconsejable someterlos nuevamente a cocción junto con los otros ingredientes, pues se tornan duros, basta con remojarlos en caldo de verduras y añadirlos a final."
215;"¿Qué hay que saber cuando se utiliza pescado congelado?";"El pescado congelado no requiere ser lavado ni salado."
216;"¿Cómo se retiran con facilidad las espinas de un pescado?";"Las espinas de pescado se pueden retirar con facilidad si previamente se lo introduce en agua hirviendo."
217;"¿Qué hay que tener en cuenta cuando se va a flambear?";"Para flambear la preparación debe estar muy caliente, sin humedad y el recipiente bien seco, sólo con grasa y jugo de cocción."
218;"¿Cómo pueden hacerse refrescos caseros?";"Para hacer en casa unos buenos refrescos utilice las cáscaras de cítricos que no hayan recibido pesticidas. Hiérvalas con 300 gramos de azúcar y un litro de agua durante media hora. Retire del fuego, deje enfriar, cuele y añada otro litro de agua o soda, pero esta vez bien fría. Reserve en la heladera hasta el momento de su consumo."
219;"¿Qué precauciones hay que tomar al hacer merengue?";"Antes de batir el merengue, asegúrese de que las paletas batidoras estén bien limpias y secas, sin restos de yema o materias grasas."
220;"¿Cómo lograr un merengue bien alto?";"Para que el merengue levante más durante su cocción, conviene ponerlo antes, crudo, en la heladera. Un buen rato en el frío impedirá que se achate o pierda volumen."
221;"¿Cuál es la temperatura ideal para derretir el chocolate cobertura?";"El baño María donde se coloca el recipiente con el chocolate cobertura nunca debe llegar a hervir y la temperatura del chocolate no debe superar los 46°C, para el negro, y los 43°C, para el blanco o con leche."
222;"¿Cómo picar o cortar la fruta abrillantada?";"Para picar la fruta abrillantada o las frutas disecadas como damascos y duraznos (orejones) emplee una tijera de cocina o cuchillo previamente mojados para evitar que el azúcar no se adhiera."
224;"¿Es conveniente consumir recién hechas las tortas con frutas secas y abrillantadas ?";"Las tortas de frutas secas y abrillandas tienen mejor sabor si se conservan herméticamente envueltas por varios meses antes de consumirlas."
225;"¿Qué significa en repostería aceite neutro?";"Cuando, en una receta, se indica aceite neutro significa que se debe utilizar aceites que no tengan sabores fuertes, por lo tanto el de oliva y el de uva deben descartarse."
226;"¿Cómo aumentar la cantidad de manteca?";"Una solución simple cuando no se tiene cantidad suficiente de manteca para la elaboración de una receta es incorporarle igual cantidad de leche y batir bien hasta que quede todo bien integrado. El volumen se duplicará."
227;"¿Cómo saber cuando un melón está a punto?";"A la hora de elegir un melón juzgue su madurez por su peso, por la impresión de flexibilidad en sus extremos y por su perfume. Si lo deja a temperatura ambiente se conserva algunos días, mientras que en la heladera es posible conservarlo hasta dos semanas."
228;"¿Cómo se pueden utilizar las semillas de girasol?";"Las semillas de girasol tostadas otorgan un toque distinto a la ensalada de hojas verdes"
229;"¿Se pueden guardar las papas peladas?";"Por supuesto. Si le sobraron papas peladas puede conservarlas en la heladera. Para eso, primero lávelas, luego séquelas con un repasador y póngalas dentro de una bolsa de polietileno húmeda y perforada, para que el frío las conserve blancas."
230;"¿Cómo obtener papas fritas más sabrosas?";"Para que las papas fritas queden bien doradas y crocantes déjelas, una vez cortadas, durante diez minutos sumergidas en un bol con agua y una cucharada de sal gruesa. Luego escúrralas, séquelas bien con un repasador limpio y fríalas enseguida."
231;"Hay que esperan que se enfríen los ingredientes de una ensalada para condimentarla?";"Las ensaladas con ingredientes cocidos, como las papas,remolachas, etc., se aderezan cuando aún están calientes, pues se impregnan mejor."
232;"¿Cuándo se deben añadir el eneldo, la albahaca o la menta a una preparación?";"El sabor del eneldo, la albahaca y la menta disminuye cuando son sometidas al calor, por lo tanto es preferible añadirlas al final de la cocción."
233;"¿Cuánto demora la cocción de un pato?";"¿Cuánto demora la cocción de un pato? 
Para saberlo, calcule treinta minutos de horno por cada 450 gramos de carne, a fuego medio."
234;"¿Cómo se distinguen las cebollas frescas?";"Las cebollas, cuando son frescas, tiene forma regular y la cáscara adherida."
235;"¿Qué hacer para que las manzanas horneadas no se desarmen?";"Para que las manzanas asadas no se desarmen durante la cocción, antes de hornearlas se les hace una incisión, sólo en la piel, que cubra el contorno."
236;"¿Cómo se condimenta correctamente el pollo?";"Para condimentar un pollo se recomienda colocar las hierbas aromáticas, rodajas de limón o la salsa que se decida emplear, entre la piel y la carne del ave."
237;"¿Cómo hay que conservar las frutas secas?";"Para mantener la calidad de las frutas secas es necesario incorporar un trozo de cáscara fresca de naranja o de limón al tarro en el que se guardan. De este modo se conservarán con la humedad justa, dado que la cáscara absorbe el exceso de aire que podría resecarlas."
239;"¿Cómo se conservan las paltas?";"Lo ideal es no dejar remanente, pero en caso de que necesite guardar media palta hágalo con su carozo y pinte su superficie con aceite o manteca. Esto hará que no se deteriore tan rápidamente."
240;"¿Cómo se conservan los limones?";"Los limones se conservan un mes en la heladera, guardados en un recipiente cerrado con agua en su interior."
241;"¿Cómo debe conservarse el cacao?";"El cacao debe conservarse en un recipiente herméticamente cerrado, pues absorbe fácilmente la humedad."
243;"¿ Porqué la canela es una especia muy utilizada en repostrería?";"La canela se utiliza como preservante, pues previene que las sustancias grasas se vuelvan rancias."
245;"¿Qué se puede hacer cuando se corta la crema chantilly?";"Para recuperar la crema chantilly que se ha cortado hay que añadirle un poco de agua y continuar batiendo hasta que quede dura y aprovechable nuevamente. También se le puede espolvorear una cuchara sopera al ras de fécula de maíz y revolver enérgicamente."
246;"¿Cómo conservar la fruta seca, ya pelada?";"Los frutos secos pelados se conservan refrigerados hasta 6 meses y congelados hasta 1 año."
247;"¿Cuándo se usa el vermuth en repostería?";"El vermuth es un excelente sustituto del ron o el coñac cuando se trata de darle un toque de alcohol a una torta o tarta dulce."
248;"¿Cuál es la bebida apropiada para acompañar un plato de pescado?";"El vino blanco bien frío es la bebida ideal para acompañar un plato de pescado."
249;"¿Qué hay que tener en cuenta cuando se van a utilizar endibias?";"Las endibias nunca se deben remojar ni lavar, sino que se enjuagan levemente, pues sino se tornan amargas."
250;"¿Qué hierba es apropiada para el salmón?";"El eneldo es una hierba ideal para saborizar el salmón."
251;"¿Puede aprovecharse la cabeza del pescado fresco?";"Claro. Si no va a hornear los pescados enteros, use sus cabezas para hacer exquisitas sopas."
252;"¿Qué conviene saber para cocinar pavo o pechuga de pollo?";"El pavo y la pechuga de pollo horneados o asados resultan más jugosos y sabrosos si se pincelan con pesto antes de la cocción."
253;"¿Cómo se pueden utilizar las cebollas rojas?";"Las cebollas rojas son excelentes para ensaladas, pues tienen una textura más crujiente y sabor más suave que las otras variedades."
254;"¿Sólo se utilizan para flambear bebidas de alto contenido alcohólico?";"Es posible utilizar, también, bebidas de bajo contenido alcohólico, como la cerveza y el vino, siempre que la preparación que se va ha flambear esté a temperatura muy alta."
255;"¿Cómo retirar el cabito de la frutilla /fresa sin dañarla?";"Para no dañar las frutillas, los cabitos se retiran con una pinza de depilar."
256;"¿Qué hay que tener en cuenta cuando se maceran frutillas/fresas?";"Las frutillas/fresas se maceran enteras y se cortan después de terminado ese proceso, si la receta."
257;"¿Cuál es la mejor forma de cocinar el pato?";"El pato se cocina mejor al horno, pues reduce la grasa."
258;"¿Es posible recuperar una mermelada enmohecida?";"Por supuesto. Si la mermelada se ha enmohecido en su superficie se la puede volver a utilizar sin problemas. Para eso hay que quitarle cuidadosamente el moho con una cuchara y ponerla a hervir de nuevo, añadiéndole un poco más azúcar y espumándola."
259;"¿Cómo se distingue entre una levadura fresca y otra que no lo es?";"Una levadura está en buen estado cuando tiene un color gris tiza. Esto habla de su frescura. Para conservarla por más tiempo y evitar que se humedezca, guárdela dentro de un frasco opaco, tapado herméticamente en la heladera."
260;"¿Para que sirven las cáscaras de papa?";"Las cáscaras de papa secas son excelentes para encender fuego."
261;"¿A qué temperatura deben estar los quesos para ser consumidos?";"Para apreciar plenamente el sabor los quesos, para ser consumidos, deben estar a temperatura."
262;"¿Cómo mejorar una salsa aceitosa?";"Para mejorar una salsa aceitosa, basta añadirle unas gotitas de agua."
263;"¿Qué hacer si el puré de papas quedó muy salado?";"Si saló exageradamente el puré de papas, corríjalo agregándole un poco de azúcar."
264;"¿Cómo dorar cebollas en segundos?";"Las cebollas se doran más rápido si a la fritura se le agrega una pizca de pimentón dulce."
265;"¿Cómo desmoldar las gelatinas?";"Para que desmoldar gelatinas sea una tarea exitosa presione primero los bordes del molde con los dedos y luego páselo por agua caliente. Desmolde inmediatamente sobre un plato o fuente previamente mojada y escurrida."
266;"¿Cuál es el mejor chocolate para repostería?";"El chocolate ideal para repostería debe ser amargo y no contener menos del 50 por ciento de cacao. Los mejores suelen contener un 70 por ciento y aún más."
268;"¿Cómo utilizar los pétalos de rosa?";"Los pétalos de rosa son ideales para decorar platos principales, o postres, por ej. los flanes o las natillas se adornan con pétalos de rosa remojados en leche."
269;"¿Las endibias se pueden cocer?";"Las endibias son muy sabrosas asadas en la parrilla, rociadas con limón y salpimentadas."
270;"¿Qué hay que saber para cocinar bien las legumbres?";"Al cocinar legumbres es muy importante que mantenga la olla tapada, para que no salga el vapor y los granos se vayan cocinando en su propia humedad, sin requerir mucha agua."
271;"¿Cómo dar vuelta una tortilla con éxito?";"Para que las tortillas u omelettes no se peguen y puedan fácilmente darse vuelta es imprescindible no lavar nunca la sartén. Para mantenerla limpia, pásele un papel absorbente cuando aún esté caliente, para quitarle los restos de preparación, a menos que sea una sartén con algún revestimiento especial que requiera otro cuidado."
272;"¿Cómo obtener tortillas perfectas?";"Para que las tortillas y omelettes se doren bien pero a la vez resulten tiernas en su interior conviene cocinarlas a fuego fuerte."
273;"¿Qué hay que hacer para evitar que las claras a nieve pierdan volumen?";"Cuando la preparación lleva claras batidas a nieve lo mejor es agregarlas de a poco e ir mezclando suavemente con espátula, de forma envolvente. Así mantienen su volumen y le dan ligereza a la preparacion principal."
274;"¿Cómo hacer para que la olla no se ponga negra cuando se hierven papas?";"Para que la olla no se oscurezca durante la cocción de las papas, ponga en el agua un chorrito de aceite o unas hojas de coliflor."
275;"¿Cómo obtener ñoquis más livianos?";"Para que la masa de los ñoquis resulte liviana y no absorba mucha harina, hierva las papas con poca cantidad de agua, de modo que apenas queden cubiertas. El puré debe resultar seco."
276;"¿Cuál es el secreto de unos buenos ñoquis?";"La clave para que la salsa se impregne bien a los ñoquis consiste en tomar cada ñoqui y presionarlo contra los dientes de un tenedor grande, dejándolo luego caer sobre una tabla con un poco de harina. El acanalado que queda impreso en la pasta ayudará a compactarla y hará que la salsa se adhiera mejor."
278;"¿Las omelettes pueden hacerse en cualquier sartén?";"No. Lo ideal al momento de preparar tortillas u omelettes es contar con una sartén de fondo liso que sólo se utilice para ese fin."
279;"¿Cómo se puede disminuir la cantidad de huevos que lleva una tortilla, omellette o relleno?";"Para disminuir la cantidad de huevos de una tortilla o relleno cada huevo omitido se reemplaza por una cucharada de agua y una cucharadita de harina ligeramente batidas."
280;"¿Cómo dar un toque diferente a las carnes rebozadas?";"La carne o pescado rebozado en pan rallado tiene un gusto especial si se mezcla previamente con queso rallado, especias o hierbas."
